service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
ATS_HBL 23-34836,1,1,1,1,1,0,0,20231114,20231117
ATS_HBL 23-34836-0000100,0,0,0,0,1,0,0,20231114,20231117
ATS_HBL 23-34832,0,0,0,0,0,1,0,20231118,20231118
ATS_HBL 23-34828,0,0,0,0,0,0,1,20231119,20231119
ATS_HBL 23-34878,1,1,1,1,1,0,0,20231120,20231123
ATS_HBL 23-34878-0000100,0,0,0,0,1,0,0,20231120,20231123
ATS_MGB 23-34752,0,0,0,0,0,0,1,20231119,20231119
ATS_SBL 23-34756,0,0,0,0,0,1,0,20231118,20231118
ATS_SBL 23-34768,0,0,0,0,0,0,1,20231119,20231119
ATS_TBS 23-34241,1,1,1,1,1,0,0,20231127,20231127
ATS_TBS 23-34497,1,1,1,1,1,0,0,20231128,20231129
ATS_TBS 23-33932,1,1,1,1,1,0,0,20231130,20231130
BBL 23_24-33204,1,1,1,1,1,0,0,20231114,20240112
BCC 23_24-34446,1,1,1,1,0,0,0,20231114,20240111
BCC 23_24-34448,0,0,0,0,1,0,0,20231117,20240112
BCC 23_24-34449,0,0,0,0,0,1,0,20231118,20240113
BCC 23_24-34447,0,0,0,0,0,0,1,20231119,20240107
BITS 23_24-33239,1,1,1,1,1,0,0,20231114,20240112
BITS 23_24-33239-0000100,0,0,0,0,1,0,0,20231114,20240112
BITS 23_24-33237,0,0,0,0,0,1,0,20231118,20240113
BITS 23_24-33238,0,0,0,0,0,0,1,20231119,20240107
BITS 23_24-33236,1,1,1,1,1,1,1,20231225,20231225
CDC 23_24-34789,1,1,1,1,1,0,0,20231114,20231124
CDC 23_24-34839,1,1,1,1,1,0,0,20231127,20231201
CDC 23_24-34838,1,1,1,1,1,0,0,20231204,20231208
BT 23_24-34530,1,1,1,1,1,0,0,20231114,20231117
BT 23_24-34530-0000100,0,0,0,0,1,0,0,20231114,20231117
BT 23_24-34530-1000000,1,0,0,0,0,0,0,20231114,20231117
BT 23_24-34530-0111100,0,1,1,1,1,0,0,20231114,20231117
BT 23_24-34530-1111000,1,1,1,1,0,0,0,20231114,20231117
BT 23_24-34742,0,0,0,0,0,1,0,20231118,20231118
BT 23_24-34539,0,0,0,0,0,0,1,20231119,20240107
BT 23_24-34533,1,1,1,1,1,0,0,20231120,20231208
BT 23_24-34533-0000100,0,0,0,0,1,0,0,20231120,20231208
BT 23_24-34533-1000000,1,0,0,0,0,0,0,20231120,20231208
BT 23_24-34533-0111100,0,1,1,1,1,0,0,20231120,20231208
BT 23_24-34533-1111000,1,1,1,1,0,0,0,20231120,20231208
BT 23_24-34537,0,0,0,0,0,1,0,20231125,20240113
BT 23_24-34535,1,1,1,1,1,0,0,20231211,20240112
BT 23_24-34535-0000100,0,0,0,0,1,0,0,20231211,20240112
BT 23_24-34535-1111000,1,1,1,1,0,0,0,20231211,20240112
BT 23_24-34538,0,0,0,0,0,0,1,20231225,20240101
CBL 23_24-33284,1,1,1,1,1,0,0,20231114,20231124
CBL 23_24-33284-0001000,0,0,0,1,0,0,0,20231114,20231124
