service_id,date,exception_type
BBL 23_24-33204,20231225,2
BBL 23_24-33204,20231226,2
BBL 23_24-33204,20240101,2
BCC 23_24-34446,20231226,2
BCC 23_24-34446,20240101,2
BCC 23_24-34447,20231226,1
BCC 23_24-34447,20240101,1
BITS 23_24-33239,20231225,2
BITS 23_24-33239-0000100,20231225,2
BITS 23_24-33239,20231226,2
BITS 23_24-33239-0000100,20231226,2
BITS 23_24-33239,20240101,2
BITS 23_24-33239-0000100,20240101,2
BITS 23_24-33238,20231226,1
BITS 23_24-33238,20240101,1
BT 23_24-34535,20231225,2
BT 23_24-34535-0000100,20231225,2
BT 23_24-34535-1111000,20231225,2
BT 23_24-34535,20231226,2
BT 23_24-34535-0000100,20231226,2
BT 23_24-34535-1111000,20231226,2
BT 23_24-34535,20240101,2
BT 23_24-34535-0000100,20240101,2
BT 23_24-34535-1111000,20240101,2
BT 23_24-34538,20231231,2
BT 23_24-34538,20231225,1
BT 23_24-34538,20231226,1
BT 23_24-34538,20240101,1
CBL 23_24-33283,20231225,1
CBL 23_24-33283,20231226,1
CBL 23_24-33283,20240101,1
CBL 23_24-33282,20231225,2
CBL 23_24-33282-0001000,20231225,2
CBL 23_24-33282,20231226,2
CBL 23_24-33282-0001000,20231226,2
CBL 23_24-33282,20240101,2
CBL 23_24-33282-0001000,20240101,2
GCLR 23_24-33288,20231120,2
GCLR 23_24-33288,20231121,2
GCLR 23_24-33288,20231122,2
GCLR 23_24-33288,20231123,2
HBL 23_24-33761,20231226,2
HBL 23_24-33761,20240101,2
HBL 23_24-33753,20231231,2
HBL 23_24-33753,20231226,1
HBL 23_24-33753,20240101,1
KBL 23_24-33454,20231226,1
KBL 23_24-33454,20240101,1
KBL 23_24-33452,20231225,2
KBL 23_24-33452,20231226,2
KBL 23_24-33452,20240101,2
LCBS 23_24-34726,20231225,2
LCBS 23_24-34726-0001000,20231225,2
LCBS 23_24-34726-0000100,20231225,2
LCBS 23_24-34726,20231226,2
LCBS 23_24-34726-0001000,20231226,2
LCBS 23_24-34726-0000100,20231226,2
LCBS 23_24-34726,20240101,2
LCBS 23_24-34726-0001000,20240101,2
LCBS 23_24-34726-0000100,20240101,2
LCBS 23_24-34724,20231231,2
LCBS 23_24-34724,20231225,1
LCBS 23_24-34724,20231226,1
LCBS 23_24-34724,20240101,1
LOGC 23_24-33196,20231225,2
LOGC 23_24-33196,20231226,2
LOGC 23_24-33196,20240101,2
LVB 23_24-33218,20231225,2
LVB 23_24-33218,20231226,2
LVB 23_24-33218,20240101,2
LVB 23_24-33219,20231226,1
LVB 23_24-33219,20240101,1
MGB 23_24-33207,20231225,2
MGB 23_24-33207,20231226,2
MGB 23_24-33207,20240101,2
PRT 23_24-34209,20231225,2
PRT 23_24-34209,20231226,2
PRT 23_24-34209,20240101,2
PRT 23_24-34232,20231227,2
PRT 23_24-34232-1111111,20231227,2
PRT 23_24-34232,20231228,2
PRT 23_24-34232-1111111,20231228,2
PRT 23_24-34232,20231229,2
PRT 23_24-34232-1111111,20231229,2
PRT 23_24-34232,20231230,2
PRT 23_24-34232-1111111,20231230,2
PRT 23_24-34232,20231231,2
PRT 23_24-34232-1111111,20231231,2
QR 23_24-34853,20231225,2
QR 23_24-34853,20231226,2
QR 23_24-34853,20240101,2
QR 23_24-34871,20231231,2
QR 23_24-34871,20231225,1
QR 23_24-34871,20231226,1
QR 23_24-34871,20240101,1
SBL 23_24-34602,20231226,1
SBL 23_24-34602,20240101,1
SBL 23_24-34600,20231226,2
SBL 23_24-34600-1111000,20231226,2
SBL 23_24-34600-0000100,20231226,2
SBL 23_24-34600,20240101,2
SBL 23_24-34600-1111000,20240101,2
SBL 23_24-34600-0000100,20240101,2
SUN 23_24-34150,20231225,2
SUN 23_24-34150-1111000,20231225,2
SUN 23_24-34150-0010000,20231225,2
SUN 23_24-34150-1110100,20231225,2
SUN 23_24-34150-0001000,20231225,2
SUN 23_24-34150-0000100,20231225,2
SUN 23_24-34150,20231226,2
SUN 23_24-34150-1111000,20231226,2
SUN 23_24-34150-0010000,20231226,2
SUN 23_24-34150-1110100,20231226,2
SUN 23_24-34150-0001000,20231226,2
SUN 23_24-34150-0000100,20231226,2
SUN 23_24-34150,20240101,2
SUN 23_24-34150-1111000,20240101,2
SUN 23_24-34150-0010000,20240101,2
SUN 23_24-34150-1110100,20240101,2
SUN 23_24-34150-0001000,20240101,2
SUN 23_24-34150-0000100,20240101,2
SUN 23_24-34149,20231231,2
SUN 23_24-34149,20231226,1
SUN 23_24-34149,20240101,1
TBS 23_24-34764,20231225,2
TBS 23_24-34764,20231226,2
TBS 23_24-34764,20240101,2
TBS 23_24-34762,20231226,1
TBS 23_24-34762,20240101,1
TDEV 23_24-34623,20231225,2
TDEV 23_24-34623,20231226,2
TDEV 23_24-34623,20240101,2
TDEV 23_24-34622,20231227,2
TDEV 23_24-34622,20231228,2
TDEV 23_24-34622,20231229,2
TDEV 23_24-34622,20231230,2
TDEV 23_24-34622,20231231,2
WBS 23_24-33445,20231225,2
WBS 23_24-33445,20231226,2
WBS 23_24-33445,20240101,2
WBS 23_24-33446,20231231,2
WBS 23_24-33446,20231225,1
WBS 23_24-33446,20231226,1
WBS 23_24-33446,20240101,1
