shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
270018,-27.468592,153.035744,10001
270018,-27.468591,153.036065,10002
270018,-27.469226,153.036084,10003
270018,-27.469237,153.035411,10004
270018,-27.470610,153.035430,10005
270018,-27.470756,153.035400,10006
270018,-27.470888,153.035410,10007
270018,-27.470976,153.035428,10008
270018,-27.471103,153.035519,10009
270018,-27.471054,153.035603,10010
270018,-27.470613,153.035673,10011
270018,-27.470292,153.035730,10012
270018,-27.469882,153.035781,10013
270018,-27.469495,153.035812,10014
270018,-27.468972,153.035812,10015
270018,-27.465622,153.035676,10016
270018,-27.462799,153.035601,10017
270018,-27.461544,153.035625,10018
270018,-27.461339,153.035561,10019
270018,-27.461292,153.035539,10020
270018,-27.461292,153.035525,10021
270018,-27.461153,153.035351,10022
270018,-27.461077,153.035226,10023
270018,-27.461078,153.035105,10024
270018,-27.461104,153.035040,10025
270018,-27.461149,153.034988,10026
270018,-27.461949,153.034180,10027
270018,-27.462034,153.034068,10028
270018,-27.462119,153.033912,10029
270018,-27.462153,153.033750,10030
270018,-27.462150,153.033587,10031
270018,-27.462103,153.033299,10032
270018,-27.462100,153.032975,10033
270018,-27.462031,153.032502,10034
270018,-27.462679,153.032022,10035
270018,-27.463524,153.031370,10036
270018,-27.463690,153.031424,10037
270018,-27.463832,153.031442,10038
270018,-27.464027,153.031432,10039
270018,-27.464772,153.031257,10040
270018,-27.464953,153.031189,10041
270018,-27.465719,153.030318,10042
270018,-27.465869,153.030365,10043
270018,-27.466444,153.030208,10044
270018,-27.467244,153.029987,10045
270018,-27.467269,153.029980,10046
270018,-27.467269,153.029980,20001
270018,-27.467519,153.029916,20002
270018,-27.467645,153.029876,20003
270018,-27.467966,153.029764,20004
270018,-27.468085,153.029764,20005
270018,-27.468187,153.029792,20006
270018,-27.468516,153.030118,20007
270018,-27.469139,153.029357,20008
270018,-27.469878,153.030091,20009
270018,-27.469754,153.030240,20010
270018,-27.469706,153.030290,20011
270018,-27.469588,153.030300,20012
270018,-27.469338,153.030257,20013
270018,-27.468516,153.030118,20014
270018,-27.468187,153.029792,20015
270018,-27.467787,153.029368,20016
270018,-27.467564,153.029672,20017
270018,-27.467487,153.029772,20018
270018,-27.467395,153.029883,20019
270018,-27.467244,153.029987,20020
270018,-27.466444,153.030208,20021
270018,-27.465869,153.030365,20022
270018,-27.465719,153.030318,20023
270018,-27.464953,153.031189,20024
270018,-27.464772,153.031257,20025
270018,-27.464027,153.031432,20026
270018,-27.463832,153.031442,20027
270018,-27.463690,153.031424,20028
270018,-27.463524,153.031370,20029
270018,-27.462679,153.032022,20030
270018,-27.462031,153.032502,20031
270018,-27.462100,153.032975,20032
270018,-27.462103,153.033299,20033
270018,-27.462094,153.033508,20034
270018,-27.462012,153.033801,20035
270018,-27.461871,153.034043,20036
270018,-27.461102,153.034775,20037
270018,-27.460379,153.035506,20038
270018,-27.460161,153.035634,20039
270018,-27.460110,153.035644,20040
270018,-27.460043,153.035641,20041
270018,-27.459955,153.035618,20042
270018,-27.459871,153.035522,20043
270018,-27.459833,153.035453,20044
270018,-27.459799,153.035335,20045
270018,-27.459798,153.035231,20046
270018,-27.459821,153.035143,20047
270018,-27.459863,153.035068,20048
270018,-27.459899,153.035026,20049
270018,-27.459954,153.034995,20050
270018,-27.460005,153.034972,20051
270018,-27.460062,153.034965,20052
270018,-27.460109,153.034969,20053
270018,-27.460176,153.034984,20054
270018,-27.460188,153.034980,20055
270018,-27.460296,153.035027,20056
270018,-27.460579,153.035306,20057
270018,-27.460762,153.035504,20058
270018,-27.460848,153.035577,20059
270018,-27.460951,153.035634,20060
270018,-27.461124,153.035712,20061
270018,-27.461222,153.035742,20062
270018,-27.461417,153.035760,20063
