trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
24310490-WBS 23_24-33445,09:31:00,09:31:00,310111,31,1,0
24310491-WBS 23_24-33445,09:34:00,09:34:00,310111,1,0,0
24310491-WBS 23_24-33445,09:36:00,09:36:00,319144,2,0,0
24310491-WBS 23_24-33445,09:39:00,09:39:00,311043,3,0,0
24310491-WBS 23_24-33445,09:40:00,09:40:00,318069,4,0,0
24310491-WBS 23_24-33445,09:40:00,09:40:00,317970,5,0,0
24310491-WBS 23_24-33445,09:42:00,09:42:00,317968,6,0,0
24310491-WBS 23_24-33445,09:43:00,09:43:00,319301,7,0,0
24310491-WBS 23_24-33445,09:44:00,09:44:00,319296,8,0,0
24310491-WBS 23_24-33445,09:45:00,09:45:00,319299,9,0,0
24310491-WBS 23_24-33445,09:47:00,09:47:00,317962,10,0,0
24310491-WBS 23_24-33445,09:48:00,09:48:00,317960,11,0,0
24310491-WBS 23_24-33445,09:49:00,09:49:00,317958,12,0,0
24310491-WBS 23_24-33445,09:50:00,09:50:00,319291,13,0,0
24310491-WBS 23_24-33445,09:50:00,09:50:00,317956,14,0,0
24310491-WBS 23_24-33445,09:51:00,09:51:00,317840,15,0,0
24310491-WBS 23_24-33445,09:52:00,09:52:00,317841,16,0,0
24310491-WBS 23_24-33445,09:52:00,09:52:00,317842,17,0,0
24310491-WBS 23_24-33445,09:53:00,09:53:00,317843,18,0,0
24310491-WBS 23_24-33445,09:54:00,09:54:00,317844,19,0,0
24310491-WBS 23_24-33445,09:55:00,09:55:00,317835,20,0,0
24310491-WBS 23_24-33445,09:56:00,09:56:00,317836,21,0,0
24310491-WBS 23_24-33445,09:57:00,09:57:00,317837,22,0,0
24310491-WBS 23_24-33445,09:58:00,09:58:00,311056,23,0,0
24310491-WBS 23_24-33445,10:00:00,10:00:00,311045,24,0,0
24310491-WBS 23_24-33445,10:03:00,10:03:00,313331,25,0,0
24310491-WBS 23_24-33445,10:06:00,10:06:00,313339,26,0,0
24310491-WBS 23_24-33445,10:07:00,10:07:00,319492,27,1,0
24310492-WBS 23_24-33445,09:11:00,09:11:00,310069,1,0,0
24310492-WBS 23_24-33445,09:14:00,09:14:00,310068,2,0,0
24310492-WBS 23_24-33445,09:15:00,09:15:00,317814,3,0,0
24310492-WBS 23_24-33445,09:18:00,09:18:00,317733,4,0,0
24310492-WBS 23_24-33445,09:18:00,09:18:00,311811,5,0,0
24310492-WBS 23_24-33445,09:19:00,09:19:00,311815,6,0,0
24310492-WBS 23_24-33445,09:20:00,09:20:00,310312,7,0,0
24310492-WBS 23_24-33445,09:21:00,09:21:00,311806,8,0,0
24310492-WBS 23_24-33445,09:22:00,09:22:00,311779,9,0,0
24310492-WBS 23_24-33445,09:23:00,09:23:00,317808,10,0,0
24310492-WBS 23_24-33445,09:24:00,09:24:00,311795,11,0,0
24310492-WBS 23_24-33445,09:25:00,09:25:00,311796,12,0,0
24310492-WBS 23_24-33445,09:26:00,09:26:00,311774,13,0,0
24310492-WBS 23_24-33445,09:26:00,09:26:00,311785,14,0,0
24310492-WBS 23_24-33445,09:27:00,09:27:00,311801,15,0,0
24310492-WBS 23_24-33445,09:28:00,09:28:00,313321,16,0,0
24310492-WBS 23_24-33445,09:29:00,09:29:00,313328,17,0,0
24310492-WBS 23_24-33445,09:29:00,09:29:00,313335,18,0,0
24310492-WBS 23_24-33445,09:30:00,09:30:00,311050,19,0,0
24310492-WBS 23_24-33445,09:31:00,09:31:00,313339,20,0,0
24310492-WBS 23_24-33445,09:32:00,09:32:00,319492,21,0,0
24310492-WBS 23_24-33445,09:35:00,09:35:00,313341,22,0,0
24310492-WBS 23_24-33445,09:36:00,09:36:00,313342,23,0,0
24310492-WBS 23_24-33445,09:37:00,09:37:00,313319,24,0,0
24310492-WBS 23_24-33445,09:38:00,09:38:00,313317,25,0,0
24310492-WBS 23_24-33445,09:47:00,09:47:00,310111,26,1,0
24310493-WBS 23_24-33445,09:20:00,09:20:00,310093,1,0,0
24310493-WBS 23_24-33445,09:22:00,09:22:00,316674,2,0,0
24310493-WBS 23_24-33445,09:25:00,09:25:00,318075,3,0,0
24310493-WBS 23_24-33445,09:26:00,09:26:00,317735,4,0,0
24310493-WBS 23_24-33445,09:27:00,09:27:00,310421,5,0,0
24310493-WBS 23_24-33445,09:28:00,09:28:00,310842,6,0,0
24310493-WBS 23_24-33445,09:29:00,09:29:00,312906,7,0,0
24310493-WBS 23_24-33445,09:30:00,09:30:00,310843,8,0,0
24310493-WBS 23_24-33445,09:31:00,09:31:00,312928,9,0,0
24310493-WBS 23_24-33445,09:31:00,09:31:00,312916,10,0,0
24310493-WBS 23_24-33445,09:32:00,09:32:00,312942,11,0,0
24310493-WBS 23_24-33445,09:33:00,09:33:00,312943,12,0,0
24310493-WBS 23_24-33445,09:34:00,09:34:00,317872,13,0,0
24310493-WBS 23_24-33445,09:35:00,09:35:00,317739,14,0,0
24310493-WBS 23_24-33445,09:36:00,09:36:00,312936,15,0,0
24310493-WBS 23_24-33445,09:38:00,09:38:00,312929,16,0,0
24310493-WBS 23_24-33445,09:39:00,09:39:00,317922,17,0,0
24310493-WBS 23_24-33445,09:41:00,09:41:00,310176,18,0,0
24310493-WBS 23_24-33445,09:42:00,09:42:00,317798,19,0,0
24310493-WBS 23_24-33445,09:44:00,09:44:00,317806,20,0,0
24310493-WBS 23_24-33445,09:46:00,09:46:00,311331,21,0,0
24310493-WBS 23_24-33445,09:46:00,09:46:00,311327,22,0,0
24310493-WBS 23_24-33445,09:47:00,09:47:00,311328,23,0,0
24310493-WBS 23_24-33445,09:47:00,09:47:00,319305,24,0,0
24310493-WBS 23_24-33445,09:48:00,09:48:00,311330,25,0,0
24310493-WBS 23_24-33445,09:49:00,09:49:00,311332,26,0,0
24310493-WBS 23_24-33445,09:50:00,09:50:00,311329,27,0,0
24310493-WBS 23_24-33445,09:51:00,09:51:00,310252,28,0,0
24310493-WBS 23_24-33445,09:53:00,09:53:00,310251,29,0,0
24310493-WBS 23_24-33445,09:59:00,09:59:00,319144,30,0,0
24310493-WBS 23_24-33445,10:01:00,10:01:00,310111,31,1,0
24310494-WBS 23_24-33445,10:04:00,10:04:00,310111,1,0,0
24310494-WBS 23_24-33445,10:06:00,10:06:00,319144,2,0,0
24310494-WBS 23_24-33445,10:09:00,10:09:00,311043,3,0,0
24310494-WBS 23_24-33445,10:10:00,10:10:00,318069,4,0,0
24310494-WBS 23_24-33445,10:10:00,10:10:00,317970,5,0,0
24310494-WBS 23_24-33445,10:12:00,10:12:00,317968,6,0,0
24310494-WBS 23_24-33445,10:13:00,10:13:00,319301,7,0,0
24310494-WBS 23_24-33445,10:14:00,10:14:00,319296,8,0,0
24310494-WBS 23_24-33445,10:15:00,10:15:00,319299,9,0,0
24310494-WBS 23_24-33445,10:17:00,10:17:00,317962,10,0,0
24310494-WBS 23_24-33445,10:18:00,10:18:00,317960,11,0,0
24310494-WBS 23_24-33445,10:19:00,10:19:00,317958,12,0,0
24310494-WBS 23_24-33445,10:20:00,10:20:00,319291,13,0,0
24310494-WBS 23_24-33445,10:20:00,10:20:00,317956,14,0,0
